Name,Address,City,State
WINDY CORNER MARKET,4595 BRYAN STATION ROAD,Lexington,KY
YATES ELEMENTARY SCHOOL,703 E NEW CIRCLE RD,Lexington,KY
NEFERTITI,"1301 WINCHESTER RD, SUITE 81",Lexington,KY
LYNAGH'S SHAMROCK BAR & GRILL,154 PATCHEN DRIVE #87A,Lexington,KY
"GREY GOOSE, THE",170 JEFFERSON ST,Lexington,KY
MARATHON MART,300 N. MARTIN LUTHER KING BLVD,Lexington,KY
HANNEH'S GROCERY & DELI,561 BRECKINRIDGE,Lexington,KY
MINIT MART #674,435 W NEW CIRCLE ROAD,Lexington,KY
"COFFEE TIMES, INC",2571 REGENCY RD,Lexington,KY
WILDCAT MARKET,552  COLUMBIA AVENUE,Lexington,KY
H & M MARKET,1220 N LIMESTONE ST,Lexington,KY
SABOR LATINO PUPUSAS,1205 VERSAILLES ROAD,Lexington,KY
KENTUCKY FRIED CHICKEN,4141 TATES CREEK ROAD,Lexington,KY
LUNDY'S OF LEXINGTON,1389 PRIDEMORE COURT,Lexington,KY
GROWING TOGETHER PRE-SCHOOL,599 LIMA DRIVE,Lexington,KY
KROGER L-407,3101 RICHMOND ROAD,Lexington,KY
SAVE A LOT - SOUTHLAND,398 SOUTHLAND DR,Lexington,KY
PANDA EXPRESS #2625,2399 RICHMOND RD,Lexington,KY
JOT EM DOWN,3299 RUSSELL CAVE RD.,Lexington,KY
TASTE OF THAI,101 - 105 WEST MAIN ST.,Lexington,KY
SELMA'S CATERING,720 HENRY CLAY BLVD.,Lexington,KY
"WILSON'S GROCERY, MEAT & PROD.",1010 CRAMER AVENUE,Lexington,KY
SWIFT VENTURES,1875 AUGUSTA DR,Lexington,KY
MINIT MART #679,2300 VERSAILLES RD,Lexington,KY
SPEEDWAY #9393,2290 ELKHORN ROAD,Lexington,KY
SPEEDWAY #9596,246 SOUTHLAND DR,Lexington,KY
"NO BAKED LOUISVILLE, LLC",3735 PALOMAR CENTRE DR. STE 220,Lexington,KY
PDQ DELI AND GROCERY,460 E NEW CIRCLE RD,Lexington,KY
OLIVE GARDEN ITAL. REST. #1320,3385 NICHOLASVILLE ROAD,Lexington,KY
CAFE SOUTH @ BAPTIST HEALTH HOSPITAL,1740 NICHOLASVILLE RD,Lexington,KY
CHINOE PUB,1050 -C  E CHINOE RD,Lexington,KY
EFS SOUTH BROADWAY,1201 SOUTH BROADWAY,Lexington,KY
F & D MARKET,573 ELM TREE LANE,Lexington,KY
MINIT MART #662,1998 HARRODSBURG ROAD,Lexington,KY
TACO BELL #22283,2275 NICHOLASVILLE RD,Lexington,KY
SANDRA'S CAFE AND DELI,6421 ATHENS-BOONESBORO ROAD,Lexington,KY
SQUIRES ELEMENTARY SCHOOL,3337 SQUIRES OAK DR,Lexington,KY
ARAMARK-BUILDING 32-35/LEXMARK,740 NEW CIRCLE RD  BLDGS 32-35,Lexington,KY
PORTOFINO,"249 E MAIN ST, STE 102",Lexington,KY
BIT N BRIDLE CLUBHOUSE,4089 IRON WORKS PIKE,Lexington,KY
SUBWAY  #2819,409 WALLER AVENUE,Lexington,KY
